last4ccnum,id,score,prob_score,CarID,CurrentEmploymentType,CurrentEmploymentTitle,Name
1286,1,0.3333333333333333,0.015873015873015872,1,Information Technology,IT Helpdesk,Nils Calixto
1286,2,0.14285714285714285,0.006802721088435374,2,Engineering,Engineer,Lars Azada
1286,5,0.3333333333333333,0.015873015873015872,5,Information Technology,IT Technician,Isak Baza
1286,6,0.288034188034188,0.013715913715913715,6,Information Technology,IT Group Manager,Linnea Bergen
1286,8,0.48942307692307696,0.023305860805860806,8,Information Technology,IT Technician,Lucas Alcazar
1286,11,0.07692307692307693,0.003663003663003663,11,Engineering,Hydraulic Technician,Axel Calzas
1286,12,0.1625,0.007738095238095238,12,Security,Site Control,Hideki Cocinaro
1286,13,2.662301587301587,0.12677626606198034,13,Security,Site Control,Inga Ferro
1286,14,0.1625,0.007738095238095238,14,Engineering,Engineering Group Manager,Lidelse Dedos
1286,15,0.8533119658119659,0.04063390313390314,15,Security,Site Control,Loreto Bodrogi
1286,16,0.31646825396825395,0.015069916855631142,16,Security,Perimeter Control,Isia Vann
1286,17,0.975534188034188,0.04645400895400895,17,Information Technology,IT Technician,Sven Flecha
1286,18,0.2822802197802198,0.013441915227629513,18,Engineering,Geologist,Birgitta Frente
1286,20,0.1875,0.008928571428571428,20,Security,Building Control,Stenig Fusil
1286,21,0.49339133089133086,0.023494825280539564,21,Security,Perimeter Control,Hennie Osvaldo
1286,22,7.4890262515262505,0.3566202976917262,22,Security,Badging Office,Adra Nubarron
1286,23,0.8545024420024421,0.04069059247630676,23,Security,Badging Office,Varja Lagos
1286,24,1.4711691086691088,0.07005567184138613,24,Security,Perimeter Control,Minke Mies
1286,25,0.14285714285714285,0.006802721088435374,25,Engineering,Geologist,Kanon Herrero
1286,26,0.21978021978021978,0.010465724751439037,26,Engineering,Drill Site Manager,Marin Onda
1286,28,0.0625,0.002976190476190476,28,Engineering,Drill Technician,Isande Borrasca
1286,29,0.1111111111111111,0.005291005291005291,29,Facilities,Facilities Group Manager,Bertrand Ovan
1286,30,1.6628357753357752,0.07918265596837025,30,Security,Security Group Manager,Felix Resumir
1286,31,0.0625,0.002976190476190476,31,Executive,President/CEO,Sten Sanjorge Jr.
1286,33,0.6183913308913309,0.02944720623292052,33,Engineering,Drill Technician,Brand Tempestad
1286,34,0.5456349206349207,0.025982615268329557,34,Security,Perimeter Control,Edvard Vann
1310,1,1.8547619047619046,0.06869488536155202,1,Information Technology,IT Helpdesk,Nils Calixto
1310,3,0.1111111111111111,0.004115226337448559,3,Engineering,Engineer,Felix Balas
1310,5,0.1111111111111111,0.004115226337448559,5,Information Technology,IT Technician,Isak Baza
1310,6,0.5317460317460317,0.01969429747207525,6,Information Technology,IT Group Manager,Linnea Bergen
1310,8,1.0563492063492061,0.03912404467960023,8,Information Technology,IT Technician,Lucas Alcazar
1310,9,0.4444444444444444,0.016460905349794237,9,Engineering,Drill Technician,Gustav Cazar
1310,12,1.234126984126984,0.045708406819517926,12,Security,Site Control,Hideki Cocinaro
1310,13,1.226190476190476,0.045414462081128745,13,Security,Site Control,Inga Ferro
1310,14,1.3992063492063491,0.05182245737801293,14,Engineering,Engineering Group Manager,Lidelse Dedos
